Tournament,Date,Prize,Teams,Location,Winner,Runner-up,Tier,Year
TheInternational2021,"Oct07-17,2021","$40,018,195",18teams,"Bucharest,Romania",TSpirit,PSG.LGD,1,2021
OGADotaPITInvitational,"Sep06-10,2021","$275,000",8teams,Europe,PSG.LGD,TSpirit,1,2021
ESLOneFall2021,"Aug21-29,2021","$400,000",12teams,Europe&CIS,Tundra,PSG.LGD,1,2021
ESLOneSummer2021,"Jun16-20,2021","$400,000",12teams,Europe,T1,VP,1,2021
WePlayAniMajor,"Jun02-13,2021","$500,000",18teams,"Kyiv,Ukraine",PSG.LGD,EG,1,2021
ONEEsportsSingaporeMajor2021,"Mar27-Apr04,2021","$500,000",16teams,Singapore,iG,EG,1,2021
EPICLeagueSeason2Division1,"Dec08-13,2020","$500,000",8teams,Europe&CIS,VP,OG,1,2020
ESLOneGermany2020,"Oct05-Nov01,2020","$400,000",16teams,Europe&CIS,Liquid,NAVI,1,2020
OMEGALeague:EuropeImmortalDivision,"Aug14-Sep06,2020","$500,000",12teams,Europe&CIS,Secret,OG,1,2020
ONEEsportsSingaporeMajor2020,"Jun20-28,2020","$1,000,000",16teams,Singapore,Cancelled,"",1,2020
EPICENTERMajor2020,"May02-10,2020","$1,000,000",16teams,"Moscow,Russia",Cancelled,"",1,2020
ESLOneLosAngeles2020,"Mar15-22,2020","$1,000,000",16teams,"LosAngeles,USA",Cancelled,"",1,2020
DreamLeagueSeason13,"Jan18-26,2020","$1,000,000",16teams,"Leipzig,Germany",Secret,EG,1,2020
ONEEsportsDota2WorldProInvitationalSingapore,"Dec17-22,2019","$500,000",12teams,Singapore,VG,EG,1,2019
MDLChengduMajor,"Nov16-24,2019","$1,000,000",16teams,"Chengdu,China",TNC,VG,1,2019
TheInternational2019,"Aug15-25,2019","$34,330,068",18teams,"Shanghai,China",OG,Liquid,1,2019
EPICENTERMajor2019,"Jun22-30,2019","$1,000,000",16teams,"Moscow,Russia",VG,Liquid,1,2019
MDLDisneyland®ParisMajor,"May04-12,2019","$1,000,000",16teams,"Paris,France",Secret,Liquid,1,2019
DreamLeagueSeason11,"Mar14-24,2019","$1,000,000",16teams,"Stockholm,Sweden",VG,VP,1,2019
WorldElectronicSportsGames2018,"Mar07-10,2019","$890,000",24teams,"Chongqing,China",TNC,KG,1,2019
TheChongqingMajor,"Jan19-27,2019","$1,000,000",16teams,"Chongqing,China",Secret,VP,1,2019
TheKualaLumpurMajor,"Nov09-18,2018","$1,000,000",16teams,"KualaLumpur,Malaysia",VP,Secret,1,2018
TheInternational2018,"Aug15-25,2018","$25,532,177",18teams,"Vancouver,Canada",OG,PSG.LGD,1,2018
ChinaDota2Supermajor,"Jun02-10,2018","$1,500,000",16teams,"Shanghai,China",Liquid,VP,1,2018
ESLOneBirmingham2018,"May23-27,2018","$1,000,000",12teams,"Birmingham,UnitedKingdom",VP,OpTic,1,2018
MDLChangshaMajor,"May14-20,2018","$1,000,000",12teams,"Changsha,China",PSG.LGD,VGJ.S,1,2018
EPICENTERXL,"Apr27-May06,2018","$1,000,000",12teams,"Moscow,Russia",PSG.LGD,Liquid,1,2018
Dota2AsiaChampionships2018,"Mar29-Apr07,2018","$1,000,000",16teams,"Shanghai,China",Mski,LGD,1,2018
WorldElectronicSportsGames2017,"Mar13-18,2018","$1,500,000",30teams,"Haikou,China",RUS,paiN,1,2018
TheBucharestMajor,"Mar04-11,2018","$1,000,000",16teams,"Bucharest,Romania",VP,VGJ.T,1,2018
ESLOneKatowice2018,"Feb20-25,2018","$1,000,000",16teams,"Katowice,Poland",VP,VG,1,2018
GalaxyBattlesII:EmergingWorlds,"Jan19-21,2018","$500,000",8teams,"CiudaddeVictoria,Philippines",VGJ.T,EG,1,2018
DreamLeagueSeason8,"Dec01-03,2017","$1,000,000",8teams,"Jönköping,Sweden",Secret,Liquid,1,2017
ESLOneHamburg2017,"Oct26-29,2017","$1,000,000",8teams,"Hamburg,Germany",VP,Secret,1,2017
TheInternational2017,"Aug02-12,2017","$24,787,916",18teams,"Seattle,UnitedStates",Liquid,Newbee,1,2017
MarsDota2League2017,"Jul05-09,2017","$250,000",8teams,"Wuhan,China",LGD,LFY,1,2017
GalaxyBattles,"Jun15-18,2017","$150,000",8teams,"Shenzhen,China",Newbee,ODD,1,2017
DOTASummit7,"Jun14-18,2017","$100,000",8teams,"LosAngeles,UnitedStates",VP,Secret,1,2017
EPICENTER2017,"Jun04-11,2017","$500,000",10teams,"Moscow,Russia",Liquid,EG,1,2017
ZOTACCupMasters,"May30-Jun03,2017","$100,000",8teams,"Taipei,Taiwan",Newbee,NP,1,2017
TheManilaMasters,"May25-28,2017","$250,000",8teams,"Manila,Philippines",EG,Newbee,1,2017
StarLadderi-LeagueInvitationalSeason2,"May18-21,2017","$100,000",8teams,"Shanghai,China",Liquid,TNC,1,2017
TheKievMajor2017,"Apr24-30,2017","$3,000,000",16teams,"Kyiv,Ukraine",OG,VP,1,2017
Dota2AsiaChampionships2017,"Mar27-Apr04,2017","$611,997",12teams,"Shanghai,China",iG,OG,1,2017
StarLadderi-LeagueStarSeriesSeason3,"Feb23-26,2017","$300,000",8teams,"Shanghai,China",Liquid,VGJ,1,2017
DotaPitLeagueSeason5,"Jan20-22,2017","$139,860",8teams,"Split,Croatia",EG,OG,1,2017
WorldElectronicSportsGames2016,"Jan12-15,2017","$1,500,000",24teams,"Changzhou,China",TNC,C9,1,2017
ESLOneGenting2017,"Jan06-08,2017","$250,000",8teams,"GentingHighlands,Malaysia",DC,Newbee,1,2017
WorldCyberArena2016,"Dec14-16,2016","$591,292",10teams,"Yinchuan,China",iG.V,VG,1,2016
TheBostonMajor2016,"Dec03-10,2016","$3,000,000",16teams,"Boston,UnitedStates",OG,AF,1,2016
TheSummit6,"Nov16-20,2016","$100,000",8teams,"LosAngeles,UnitedStates",VP,OG,1,2016
NorthernArenaBEATInvitational,"Nov10-13,2016","$100,000",8teams,"Montreal,Canada",Wings,NP,1,2016
MarsDota2League2016Autumn,"Sep28-Oct02,2016","$250,000",8teams,"Xiamen,China",EG,Newbee,1,2016
TheInternational2016,"Aug02-13,2016","$20,770,460",16teams,"Seattle,UnitedStates",Wings,DC,1,2016
StarLadderi-LeagueStarSeriesSeason2,"Jul21-24,2016","$300,000",8teams,"LosAngeles,UnitedStates",Na`Vi,Secret,1,2016
TheSummit5,"Jul13-17,2016","$101,044",8teams,"LosAngeles,UnitedStates",Wings,OG,1,2016
NanyangDota2ChampionshipsSeason2,"Jul06-10,2016","$201,270",8teams,"Shanghai,China",Newbee,Wings,1,2016
ESLOneFrankfurt2016,"Jun17-19,2016","$314,545",8teams,"Frankfurt,Germany",OG,Na`Vi,1,2016
TheManilaMajor2016,"Jun03-12,2016","$3,000,000",16teams,"Manila,Philippines",OG,Liquid,1,2016
EPICENTER2016,"May09-15,2016","$500,000",10teams,"Moscow,Russia",Liquid,Newbee,1,2016
WePlayDota2LeagueSeason3,"Apr28-May01,2016","$208,239",8teams,"Kyiv,Ukraine",MVP.P,Vega,1,2016
ESLOneManila2016,"Apr22-24,2016","$250,000",8teams,"Manila,Philippines",Wings,Liquid,1,2016
StarLadderi-LeagueInvitationalSeason1,"Apr14-17,2016","$100,000",8teams,"Kyiv,Ukraine",VG.R,Na`Vi,1,2016
DotaPitLeagueSeason4,"Mar19-20,2016","$195,274",8teams,"Split,Croatia",MVP.P,EG,1,2016
TheShanghaiMajor2016,"Feb25-Mar06,2016","$3,000,000",16teams,"Shanghai,China",Secret,Liquid,1,2016
MarsTVDota2League2015Winter,"Jan27-31,2016","$277,668",10teams,"Wuxi,China",EHOME,EG,1,2016
StarLadderi-LeagueStarSeriesSeason1,"Jan13-17,2016","$302,227",12teams,"Minsk,Belarus",[A],EG,1,2016
WorldCyberArena2015,"Dec17-20,2015","$664,356",16teams,"Yinchuan,China",[A],LGD,1,2015
TheSummit4,"Dec09-13,2015","$114,866",8teams,"LosAngeles,UnitedStates",EG,VP,1,2015
GameShowGlobaleSportsCupSeason1,"Nov30-Dec06,2015","$280,000",6teams,"Moscow,Russia&Vilnius,Lithuania",Empire,4C&L,1,2015
TheFrankfurtMajor2015,"Nov13-21,2015","$3,000,000",16teams,"Frankfurt,Germany",OG,Secret,1,2015
NanyangDota2Championships,"Oct26-Nov01,2015","$220,183",10teams,Singapore,Secret,VG,1,2015
MLGWorldFinals,"Oct16-18,2015","$284,954",8teams,"NewOrleans,UnitedStates",Secret,EG,1,2015
ESLOneNewYork2015,"Oct03-04,2015","$286,622",8teams,"NewYork,UnitedStates",Vega,Secret,1,2015
TheInternational2015,"Jul27-Aug08,2015","$18,429,613",16teams,"Seattle,UnitedStates",EG,CDEC,1,2015
DotaPitLeagueSeason3,"Jan21-Jul12,2015","$265,378",12teams,Europe,EG,C9,1,2015
EsportalDota2League,"Nov28,2014-Jul05,2015","$64,000",8teams,Europe,VP,Empire,1,2015
ESLOneFrankfurt2015,"Jun18-21,2015","$296,203",8teams,"Frankfurt,Germany",Secret,EG,1,2015
DreamLeagueSeason3,"May04-Jun15,2015","$149,582",8teams,"Jönköping,Sweden",VP,Na`Vi,1,2015
joinDOTAMLGProLeagueSeason2,"Jun05-07,2015","$167,248",8teams,"Austin,UnitedStates",NiP,[A],1,2015
MarsTVDota2League2015Spring,"Jun03-07,2015","$323,034",10teams,"Shanghai,China",Secret,Empire,1,2015
i-LeagueSeason3,"Apr06-May23,2015","$428,368",8teams,"Shanghai,China",LGD,VG,1,2015
TheSummit3,"May13-17,2015","$271,685",8teams,"LosAngeles,UnitedStates",Secret,EG,1,2015
Dota2ChampionsLeagueSeason5,"May09-10,2015","$79,504",4teams,"Berlin,Germany",Empire,VG,1,2015
StarLadderStarSeriesSeason12,"Mar09-Apr26,2015","$150,000",8teams,"Bucharest,Romania",VG,iG,1,2015
joinDOTAMLGProLeagueSeason1,"Apr10-12,2015","$86,461",6teams,"Columbus,UnitedStates",Empire,EG,1,2015
Dota2AsiaChampionships2015,"Jan29-Feb09,2015","$3,057,519",16teams,"Shanghai,China",EG,VG,1,2015
StarLadderStarSeriesSeason11,"Jan15-18,2015","$86,521",8teams,"Kyiv,Ukraine",Empire,VP.Polar,1,2015
i-LeagueSeason2,"Nov17,2014-Jan10,2015","$129,307",8teams,"Shanghai,China",LGD,HGT,1,2015
Dota2LeagueSeason5,"Jan05-06,2015","$58,397",4teams,"LasVegas,UnitedStates",Lv,VP.Polar,1,2015
DotaPitLeagueSeason2,"Sep25-Dec23,2014","$80,589",16teams,Europe,Secret,VP.Polar,1,2014
XMGCaptainsDraft2.0,"Oct31-Dec21,2014","$276,742",8teams,Europe,Secret,VP,1,2014
TheSummit2,"Dec03-07,2014","$310,912",6teams,"LosAngeles,UnitedStates",VG,C9,1,2014
DreamLeagueSeason2,"Oct06-Nov29,2014","$115,560",16teams,"Jönköping,Sweden",EG,C9,1,2014
Dota2ChampionsLeagueSeason4,"Oct31-Nov02,2014","$76,235",4teams,"Bucharest,Romania",Na`Vi,TT,1,2014
NationalElectronicSportsTournament2014,"Oct30-Nov02,2014","$60,618",8teams,"Kunshan,China",Lv,LGD,1,2014
ExcellentMoscowCup2,"Aug26-Oct29,2014","$75,575",4teams,"Moscow,Russia",Empire,Na`Vi,1,2014
StarLadderStarSeriesSeason10,"Oct23-26,2014","$233,980",8teams,"Kyiv,Ukraine",EG,Secret,1,2014
ESLOneNewYork2014,"Oct09-10,2014","$141,010",8teams,"NewYork,UnitedStates",VG,EG,1,2014
WorldCyberArena2014,"Oct02-05,2014","$473,072",8teams,"Yinchuan,China",Newbee,C9,1,2014
i-LeagueSeason1,"Aug11-Sep28,2014","$311,655",8teams,"Shanghai,China",VG,OB,1,2014
WorldE-sportChampionships2014,"Sep05-07,2014","$168,028",8teams,"Hangzhou,China",EG,C9,1,2014
TheInternational2014,"Jul08-21,2014","$10,923,977",19teams,"Seattle,UnitedStates",Newbee,VG,1,2014
ESLOneFrankfurt2014,"Jun28-29,2014","$210,900",8teams,"Frankfurt,Germany",iG,EG,1,2014
Dota2ChampionsLeagueSeason3,"Apr25-Jun25,2014","$67,835",12teams,Europe,Empire,Fnatic,1,2014
HyperXD2LWesternChallenge,"Apr01-Jun24,2014","$68,517",8teams,World,EG,Na`Vi,1,2014
DreamLeagueSeason1,"Mar03-Jun16,2014","$265,257",12teams,"Jönköping,Sweden",[A],C9,1,2014
TheSummit,"Jun05-08,2014","$132,350",6teams,"LosAngeles,UnitedStates",EG,DK,1,2014
WPC2014,"May26-Jun02,2014","$245,061",8teams,"Shanghai,China",iG,DK,1,2014
MarsTVDota2League2014,"May24-25,2014","$24,082",6teams,"Jiangyin,China",Newbee,LGD,1,2014
ExcellentMoscowCup,"Mar28-May18,2014","$20,154",4teams,"Moscow,Russia",Empire,PR,1,2014
StarLadderStarSeriesSeason9,"Apr17-20,2014","$190,162",8teams,"Kyiv,Ukraine",DK,Empire,1,2014
Dota2ChampionsLeagueSeason2,"Feb09-Apr15,2014","$124,165",10teams,Europe,Na`Vi,C9,1,2014
NexonSponsorshipLeagueSeason3,"Jan04-Feb15,2014","$69,473",8teams,"Seoul,Korea",Zephyr,EOT,1,2014
G-League2013,"Dec09,2013-Jan19,2014","$44,639",10teams,"Shanghai,China",DK,iG,1,2014
StarLadderStarSeriesSeason8,"Nov25,2013-Jan19,2014","$124,000",18teams,"Kyiv,Ukraine",Na`Vi,[A],1,2014
Dota2ChampionsLeagueSeason1,"Oct17,2013-Jan15,2014","$50,000",10teams,Europe,[A],SPG.int,1,2014
Dota2LeagueSeason4,"Jan07-08,2014","$50,000",4teams,"LasVegas,UnitedStates",LGD,Fnatic,1,2014
RedBullECL2013GrandFinals,"Jan03-07,2014","$21,502",4teams,"Beijing,China",iG,DK,1,2014
2013WPCACEDota2League,"Sep22,2013-Jan01,2014","$248,024",10teams,"Shanghai,China",DK,iG,1,2014
NexonSponsorshipLeagueSeason2,"Nov30-Dec28,2013","$88,835",8teams,"Seoul,Korea",MVP.P,5inQ,1,2013
RaidCallEMSOneFallSeason,"Sep02-Dec08,2013","$39,000",8teams,"Tychy,Poland",VG,Fnatic,1,2013
DreamLeagueKick-OffSeason,"Nov04-30,2013","$50,000",6teams,"Jönköping,Sweden",Na`Vi,Fnatic,1,2013
MLGChampionshipColumbus,"Nov22-24,2013","$136,960",9teams,"Columbus,UnitedStates",SPG.int,DK,1,2013
TechlabsCup2013GrandFinal,"Nov16-17,2013","$25,000",4teams,"Moscow,Russia",Na`Vi,Empire,1,2013
